Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.696416466,9.80997467,0.036490545,-0.359521598,9.816628259
0.698782404,9.79083252,0.017347964,-0.407378048,9.799319326
0.701148185,9.805189133,0.007776673,-0.421734989,9.814257731
0.70351407,9.80997467,-0.011365907,-0.397806764,9.818043718
0.705880008,9.795618057,-0.016151553,-0.38823548,9.803321926
0.708246102,9.843474388,-0.011365907,-0.364307255,9.850220149
0.710611727,9.833903313,-0.001794617,-0.369092882,9.840827564
0.712977716,9.805189133,0.002991028,-0.321236432,9.810450332
0.715343289,9.738189697,-0.006580262,-0.369092882,9.745184012
0.717708706,9.800403595,0.017347964,-0.455234498,9.81098619
0.720074748,9.80997467,0.046061836,-0.359521598,9.816668503
0.722440477,9.843474388,-0.006580262,-0.321236432,9.84871688
0.724805893,9.843474388,-0.006580262,-0.292522579,9.847822134
0.727170945,9.848259926,0.031704899,-0.34037903,9.854191324
0.729536466,9.824331284,0.026919255,-0.402592421,9.832613614
0.731901883,9.80997467,0.012562319,-0.426520646,9.819250517
0.734267195,9.814760208,-0.001794617,-0.407378048,9.823211188
0.73663256,9.80997467,-0.030508488,-0.369092882,9.816963041
0.738997925,9.829116821,0.022133609,-0.349950314,9.83536947
0.741362873,9.805189133,-0.001794617,-0.416949332,9.814050331
0.743728289,9.829116821,-0.025722843,-0.426520646,9.838400226
0.746093498,9.824331284,0.002991028,-0.345164657,9.830393316
0.748458237,9.766903877,0.031704899,-0.364307255,9.773747302
0.75082381,9.76211834,0.007776673,-0.373878539,9.769278382
0.753190008,9.824331284,0.026919255,-0.35473597,9.830770439
0.755555529,9.805189133,0.012562319,-0.335593373,9.81093852
0.75792105,9.805189133,-0.001794617,-0.349950314,9.811432228
0.760286727,9.814760208,-0.001794617,-0.345164657,9.820827857
0.762652195,9.80997467,-0.006580262,-0.364307255,9.816739077
0.765018081,9.776474953,-0.016151553,-0.38823548,9.784193894
0.767383237,9.766903877,-0.001794617,-0.369092882,9.773875594
0.769748654,9.800403595,0.022133609,-0.349950314,9.806674551
0.772114852,9.829116821,0.007776673,-0.321236432,9.83436784
0.774480633,9.833903313,-0.011365907,-0.34037903,9.839798851
0.776847039,9.795618057,-0.011365907,-0.369092882,9.802575777
0.779213289,9.805189133,-0.030508488,-0.416949332,9.814097587
0.781578654,9.78126049,-0.025722843,-0.421734989,9.790381956
0.783944904,9.757332802,-0.006580262,-0.393021107,9.76524717
0.786310737,9.79083252,0.002991028,-0.402592421,9.799106644
0.788676206,9.80997467,0.007776673,-0.397806764,9.818040218
0.791042039,9.805189133,0.022133609,-0.35473597,9.811628888
0.793407612,9.786046028,-0.006580262,-0.349950314,9.792303375
0.795772925,9.814760208,-0.016151553,-0.35473597,9.821182028
0.798138081,9.819545746,0.022133609,-0.330807716,9.825141337
0.800503602,9.824331284,-0.001794617,-0.369092882,9.831262276
0.802868602,9.819545746,-0.001794617,-0.369092882,9.826480114
0.805234123,9.805189133,-0.001794617,-0.34037903,9.811095506
0.80760006,9.814760208,-0.016151553,-0.316450804,9.819873723
0.809965841,9.829116821,0.007776673,-0.302093863,9.833761166
0.812331362,9.843474388,-0.025722843,-0.311665148,9.848440732
0.814696518,9.843474388,0.007776673,-0.349950314,9.849696124
0.81706157,9.819545746,-0.030508488,-0.345164657,9.82565764
0.819426883,9.80997467,0.012562319,-0.326022089,9.81539868
0.821793029,9.78126049,-0.020937199,-0.330807716,9.786875339
0.824158862,9.79083252,0.007776673,-0.373878539,9.797971579
0.826523966,9.776474953,0.002991028,-0.335593373,9.782233608
0.828888758,9.795618057,-0.030508488,-0.335593373,9.80141249
0.831254227,9.824331284,0.046061836,-0.364307255,9.831191517
0.833619852,9.795618057,0.012562319,-0.397806764,9.803700381
0.835985685,9.805189133,0.007776673,-0.378664196,9.81250126
0.838351102,9.805189133,0.012562319,-0.35473597,9.811611965
0.840717456,9.78126049,0.012562319,-0.373878539,9.788411503
0.843082716,9.848259926,-0.006580262,-0.407378048,9.856684216
0.845447873,9.829116821,-0.001794617,-0.393021107,9.836971399
0.847813237,9.833903313,0.012562319,-0.369092882,9.840835418
0.850178862,9.814760208,-0.020937199,-0.421734989,9.823839204
0.852544748,9.805189133,0.026919255,-0.426520646,9.814498379
0.854910477,9.853045464,-0.006580262,-0.364307255,9.859780321
0.85727605,9.853045464,0.017347964,-0.369092882,9.85997137
0.859641466,9.795618057,0.007776673,-0.426520646,9.804902522
0.862006727,9.819545746,0.007776673,-0.393021107,9.827410886
0.864371466,9.83868885,-0.001794617,-0.369092882,9.845609736
0.8667373,9.83868885,-0.006580262,-0.378664196,9.845975227
0.869103498,9.833903313,-0.006580262,-0.373878539,9.841010254
0.871469539,9.829116821,-0.011365907,-0.335593373,9.834850766
0.873835529,9.805189133,-0.001794617,-0.407378048,9.813648354
0.876201466,9.757332802,0.017347964,-0.464805812,9.768412809
0.878567508,9.829116821,0.012562319,-0.378664196,9.836416109
0.880933498,9.814760208,-0.001794617,-0.373878539,9.821878961
0.883299643,9.853045464,0.031704899,-0.378664196,9.860370007
0.885665737,9.872187614,-0.006580262,-0.369092882,9.879087061
0.888031623,9.829116821,-0.001794617,-0.38823548,9.836781358
0.890396414,9.853045464,-0.011365907,-0.383449823,9.860510527
0.892761623,9.79083252,-0.011365907,-0.402592421,9.79911278
0.895127143,9.829116821,0.002991028,-0.393021107,9.83697169
0.897492456,9.819545746,0.002991028,-0.369092882,9.826480405
0.899857664,9.824331284,-0.006580262,-0.359521598,9.830909635
0.902223081,9.843474388,-0.020937199,-0.364307255,9.850235843
0.904589227,9.848259926,-0.006580262,-0.373878539,9.855356515
0.906954331,9.83868885,0.007776673,-0.38823548,9.846348844
0.909319331,9.79083252,-0.001794617,-0.412163705,9.799504251
0.911683966,9.78126049,-0.006580262,-0.397806764,9.789348819
0.91405006,9.738189697,0.007776673,-0.38823548,9.74592868
0.916415477,9.757332802,-0.020937199,-0.402592421,9.765657296
0.918781727,9.824331284,0.002991028,-0.378664196,9.831626554
0.921146779,9.83868885,0.007776673,-0.359521598,9.845258481
0.923512508,9.833903313,0.007776673,-0.369092882,9.840830473
0.925878029,9.862616539,0.031704899,-0.38823548,9.87030582
0.928244487,9.786046028,0.046061836,-0.402592421,9.794432052
0.93061006,9.76211834,-0.001794617,-0.397806764,9.770220464
0.932975841,9.747760773,0.017347964,-0.412163705,9.756486045
0.93534131,9.786046028,-0.011365907,-0.412163705,9.794728427
0.93770631,9.83868885,-0.011365907,-0.402592421,9.846928868
0.940071987,9.853045464,-0.020937199,-0.383449823,9.860526205
0.9424373,9.867402077,-0.020937199,-0.364307255,9.874147147
0.944803185,9.829116821,-0.011365907,-0.369092882,9.836050845
0.947168602,9.78126049,0.007776673,-0.378664196,9.788590493
0.949534123,9.78126049,-0.001794617,-0.393021107,9.789153467
0.951899643,9.76211834,0.007776673,-0.397806764,9.770223394
0.95426532,9.771689415,0.036490545,-0.43609193,9.781483617
0.956630529,9.76211834,0.022133609,-0.426520646,9.771456608
0.958996414,9.83868885,-0.020937199,-0.369092882,9.845631834
0.961361987,9.876974106,0.012562319,-0.349950314,9.883179677
0.963727925,9.848259926,0.012562319,-0.345164657,9.854314792
0.966093758,9.819545746,0.002991028,-0.35473597,9.825951619
0.968459748,9.757332802,0.017347964,-0.364307255,9.764146872
0.9708248,9.805189133,0.002991028,-0.378664196,9.812498634
0.973190373,9.829116821,-0.020937199,-0.35473597,9.83553829
0.975556102,9.824331284,0.012562319,-0.378664196,9.831634124
0.977921727,9.857831001,-0.04007978,-0.373878539,9.864999929
0.980287143,9.872187614,0.012562319,-0.397806764,9.880207302
0.982652664,9.843474388,-0.020937199,-0.349950314,9.849715306
0.985018237,9.80997467,-0.011365907,-0.407378048,9.818436184
0.987383445,9.795618057,-0.001794617,-0.421734989,9.804692588
0.989748498,9.786046028,0.04127619,-0.445663214,9.796275634
0.992114383,9.776474953,0.007776673,-0.431306273,9.785987333
0.994479956,9.814760208,0.017347964,-0.397806764,9.822834067
0.996844643,9.814760208,0.026919255,-0.378664196,9.82209902
0.999209018,9.819545746,0.026919255,-0.373878539,9.826697739
1.001574175,9.795618057,-0.006580262,-0.369092882,9.802571396
1.003939279,9.795618057,-0.025722843,-0.402592421,9.803921432
1.006304435,9.78126049,0.017347964,-0.393021107,9.789168674
1.008670112,9.76211834,-0.011365907,-0.38823548,9.769841884
1.011035529,9.805189133,-0.006580262,-0.397806764,9.813257739
1.013401414,9.824331284,0.012562319,-0.316450804,9.829434576
1.015766883,9.848259926,0.007776673,-0.311665148,9.853193351
1.018132352,9.83868885,-0.001794617,-0.349950314,9.844910702
1.020498289,9.78126049,0.017347964,-0.316450804,9.786393557
1.022863289,9.771689415,0.012562319,-0.402592421,9.779987346
1.025227873,9.795618057,0.012562319,-0.440877587,9.805542513
1.027593237,9.814760208,-0.001794617,-0.369092882,9.821697955
1.029958758,9.814760208,0.017347964,-0.359521598,9.821358087
1.032324643,9.814760208,-0.04007978,-0.38823548,9.822517555
1.034690216,9.795618057,-0.001794617,-0.373878539,9.802750711
1.037055737,9.742975235,0.002991028,-0.349950314,9.749258464
1.03942157,9.795618057,0.002991028,-0.373878539,9.802751003
1.041787612,9.766903877,-0.011365907,-0.431306273,9.776429084
1.044152873,9.829116821,0.017347964,-0.38823548,9.836796492
1.046518341,9.805189133,0.012562319,-0.373878539,9.812322707
